customer_key,customer_id,country,signup_date,effective_from,effective_to,is_current
1,2386,NO,2019-01-01,2019-01-01,,True
2,1268,FI,2019-01-01,2019-01-01,,True
3,1583,SE,2019-01-01,2019-01-01,,True
4,4971,FI,2019-01-01,2019-01-01,,True
5,2938,SE,2019-01-01,2019-01-01,,True
6,4585,FI,2019-01-02,2019-01-02,,True
7,3107,NO,2019-01-03,2019-01-03,,True
8,1127,FI,2019-01-03,2019-01-03,,True
9,3596,DK,2019-01-04,2019-01-04,,True
10,2517,DK,2019-01-04,2019-01-04,,True
11,3858,DK,2019-01-04,2019-01-04,,True
12,2301,SE,2019-01-04,2019-01-04,,True
13,3863,DK,2019-01-04,2019-01-04,,True
14,2265,NO,2019-01-04,2019-01-04,,True
15,1894,DK,2019-01-05,2019-01-05,,True
16,1307,FI,2019-01-05,2019-01-05,,True
17,4344,DK,2019-01-05,2019-01-05,,True
18,4548,FI,2019-01-06,2019-01-06,,True
19,1817,NO,2019-01-06,2019-01-06,,True
20,2046,FI,2019-01-06,2019-01-06,,True
21,1582,NO,2019-01-06,2019-01-06,,True
22,2481,SE,2019-01-07,2019-01-07,,True
23,3314,SE,2019-01-07,2019-01-07,,True
24,3890,FI,2019-01-07,2019-01-07,,True
25,145,FI,2019-01-09,2019-01-09,,True
26,3115,NO,2019-01-09,2019-01-09,,True
27,106,NO,2019-01-10,2019-01-10,,True
28,769,FI,2019-01-10,2019-01-10,,True
29,2182,SE,2019-01-10,2019-01-10,,True
30,3866,FI,2019-01-10,2019-01-10,,True
31,4420,DK,2019-01-11,2019-01-11,,True
32,198,FI,2019-01-11,2019-01-11,,True
33,475,DK,2019-01-11,2019-01-11,,True
34,1979,DK,2019-01-11,2019-01-11,,True
35,2777,SE,2019-01-13,2019-01-13,,True
36,375,SE,2019-01-13,2019-01-13,,True
37,1208,NO,2019-01-13,2019-01-13,,True
38,418,NO,2019-01-13,2019-01-13,,True
39,1026,NO,2019-01-13,2019-01-13,,True
40,3421,DK,2019-01-13,2019-01-13,,True
41,1778,DK,2019-01-13,2019-01-13,,True
42,4675,NO,2019-01-14,2019-01-14,,True
43,2709,FI,2019-01-14,2019-01-14,,True
44,670,DK,2019-01-15,2019-01-15,,True
45,3319,DK,2019-01-16,2019-01-16,,True
46,1305,NO,2019-01-17,2019-01-17,,True
47,2108,DK,2019-01-18,2019-01-18,,True
48,2224,SE,2019-01-19,2019-01-19,,True
49,3096,FI,2019-01-19,2019-01-19,,True
50,3632,SE,2019-01-20,2019-01-20,,True
51,760,DK,2019-01-20,2019-01-20,,True
52,1182,FI,2019-01-20,2019-01-20,,True
53,2760,DK,2019-01-21,2019-01-21,,True
